run_games,seed,run_mode,competitors,rotate_seats,daily_conditions,workers,code_revision,elapsed_seconds,card,free_pick_rate,free_pick_offers,free_picks,win_rate,win_credit_when_acquired,player_games_with_card,fun_added,fun_total_with_card,player_games_without_card,fun_total_without_card,offers,picks,pick_rate,acquisitions,plays,plays_without_acquisition,play_rate,win_rate_when_picked,win_rate_when_acquired
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Epic Duels,0.6135018214936248,8784,5389,0.22538290386008486,1451.9166666666667,6442,-0.5477649996366907,323300,33558,1702533,8855,5389,0.6085827216261999,6442,5542,24,0.8570986699659758,0.22419125378858165,0.22538290386008486
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Epic Playlist,0.32835183603757473,16394,5383,0.23257753453218655,1487.333333333333,6395,-0.5725442491233608,320804,33605,1705029,16524,5383,0.3257685790365529,6395,3027,30,0.4711284046692607,0.23592792123351292,0.23257753453218655
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Epic Prank,0.4059557696518502,13701,5562,0.29702543832978606,1953.8333333333326,6578,1.4875171751259586,341324,33422,1684509,13799,5562,0.40307268642655264,6578,6167,31,0.9331215009835073,0.3009109433057652,0.29702543832978606
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Euchre,0.6160187144925922,8977,5530,0.23473175692855322,1538.6666666666663,6555,-0.3244750908256009,330205,33445,1695628,9040,5530,0.6117256637168141,6555,5739,31,0.8713938657758883,0.23196202531645568,0.23473175692855322
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Euchre Tournament,0.21612679220620074,24481,5291,0.2195401390644753,1389.2499999999998,6328,-0.3519452101165399,318612,33672,1707221,24705,5291,0.214167172637118,6328,3850,44,0.6042059008160703,0.2142789642789643,0.2195401390644753
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Euchre Tournament Awards Ceremony,0.10900809269004555,45226,4930,0.26578904199475056,1620.2499999999995,6096,0.5270111904664603,311460,33904,1714373,45622,4930,0.10806189996054535,6096,2554,31,0.41684347968010443,0.2610040567951318,0.26578904199475056
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Evening Chat,0.93003300330033,6060,5636,0.2615334632878492,1744.1666666666663,6669,0.5069168292072845,340574,33331,1685259,6095,5636,0.9246923707957342,6669,6353,32,0.948067452619012,0.26165128933049436,0.2615334632878492
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Evening on the Dock,0.09166666666666666,53400,4895,0.24800415136516044,1553.2499999999998,6263,-0.03309157619667502,317020,33737,1708813,53986,5151,0.09541362575482533,6263,2172,21,0.34563971992361553,0.2524267132595613,0.24800415136516044
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Fajitas,0.0944644380187639,48071,4541,0.27816073527840113,1735.1666666666663,6238,0.6285333452455504,319238,33762,1706595,48834,5096,0.10435352418397019,6238,4341,94,0.6855653821857233,0.2840463108320251,0.27816073527840113
10000,20260904,four-galaxybrain,"Galaxybrain,Galaxybrain,Galaxybrain,Galaxybrain",True,True,16,540728d1e0232c44ff7c4559ea19da54b2a71a1a+dirty,4535.009,Family Baseball Game,0.8647411616161617,6336,5479,0.28168925702811237,1870.4166666666663,6640,0.9934923145820704,341790,33360,1684043,6381,5479,0.8586428459489108,6640,6353,29,0.9526165841955315,0.28273103364360896,0.28168925702811237
